hr,steps,gsr,calories,temp
122,0,5.19E-05,7.5,77.9
135,0,5.13E-05,8.2,77.9
111,0,5.19E-05,6.2,77.9
109,0,5.27E-05,5.6,77
126,0,5.33E-05,9,77
125,0,5.33E-05,5.7,77
138,0,5.27E-05,10.1,77
149,0,5.27E-05,13.3,76.1
129,0,5.24E-05,10.4,76.1
129,0,5.27E-05,6.7,76.1
148,0,5.21E-05,8.6,76.1
169,0,5.19E-05,10.3,76.1
161,0,5.21E-05,12.8,75.2
146,0,5.19E-05,10.8,75.2
160,0,5.19E-05,11.6,75.2
156,0,5.16E-05,10.7,75.2
147,0,5.19E-05,11.5,75.2
145,0,5.16E-05,12.3,75.2
133,0,5.21E-05,1.6,74.3
143,0,5.19E-05,1.5,74.3
133,0,5.19E-05,1.5,74.3
125,0,5.19E-05,1.5,74.3
98,0,5.24E-05,1.4,74.3
112,0,5.42E-05,1.5,74.3
134,0,5.42E-05,1.5,74.3
129,0,5.42E-05,1.4,74.3
132,0,5.48E-05,1.5,73.4
137,0,5.54E-05,1.5,73.4
145,0,5.48E-05,1.4,73.4
135,0,5.48E-05,1.5,73.4
112,0,4.96E-05,1.5,73.4
116,0,4.93E-05,1.4,73.4
106,0,4.91E-05,1.5,73.4
99,0,4.91E-05,1.5,73.4
109,0,5.04E-05,1.4,73.4
129,0,5.04E-05,1.5,74.3
149,0,4.99E-05,1.5,74.3
163,0,5.02E-05,1.4,74.3
130,0,5.02E-05,1.5,74.3
92,0,5.07E-05,1.5,74.3
91,0,5.02E-05,1.4,74.3
85,0,5.02E-05,1.5,74.3
85,0,5.04E-05,1.5,74.3
83,0,5.21E-05,1.4,74.3
111,0,5.24E-05,1.5,75.2
112,0,5.36E-05,1.5,75.2
118,0,5.36E-05,1.4,75.2
115,0,5.51E-05,1.5,75.2
128,0,5.48E-05,1.5,75.2
131,0,5.51E-05,1.4,76.1
129,0,5.48E-05,1.5,76.1
136,0,5.54E-05,1.5,76.1
130,0,5.57E-05,1.4,76.1
123,0,5.54E-05,1.5,76.1
90,0,5.51E-05,1.5,76.1
89,0,5.19E-05,1.5,77
101,0,5.30E-05,1.4,77
129,0,5.30E-05,1.5,77
148,0,5.30E-05,1.5,77
143,0,5.30E-05,1.4,77
108,0,5.33E-05,1.5,77
117,0,5.27E-05,1.5,77
128,0,5.24E-05,1.4,77
135,0,5.27E-05,1.5,77
151,0,5.30E-05,1.5,77
139,0,5.30E-05,1.4,77
136,0,5.24E-05,1.5,76.1
145,0,5.21E-05,1.5,76.1
136,0,5.21E-05,1.4,76.1
118,0,5.21E-05,1.5,76.1
116,0,5.10E-05,1.5,76.1
133,0,5.16E-05,1.4,76.1
131,0,5.19E-05,1.5,76.1
115,0,5.24E-05,1.5,76.1
131,0,5.42E-05,1.4,77
130,0,5.48E-05,1.5,77
127,0,5.42E-05,1.5,77
120,0,5.45E-05,1.4,76.1
137,0,5.48E-05,1.5,76.1
131,0,5.45E-05,1.5,76.1
124,0,5.39E-05,1.4,76.1
141,0,5.42E-05,1.5,76.1
141,0,5.42E-05,1.5,76.1
144,0,5.42E-05,1.4,76.1
135,0,5.36E-05,1.5,76.1
136,0,5.36E-05,1.5,75.2
129,0,5.36E-05,1.4,75.2
133,0,5.33E-05,1.5,75.2
129,0,5.16E-05,1.5,75.2
105,0,4.96E-05,3.2,74.3
100,30,5.33E-05,2.8,79.7
91,14,5.48E-05,2.1,81.5
97,0,5.39E-05,2.3,82.4
99,0,5.51E-05,2.7,83.3
104,0,5.48E-05,2.9,83.3
109,0,5.51E-05,4.2,84.2
104,12,5.54E-05,3.4,84.2
95,7,5.57E-05,2.4,85.1
92,23,5.57E-05,2.4,85.1
95,19,5.57E-05,2.4,85.1
106,60,5.60E-05,3.3,85.1
117,108,5.63E-05,5.9,86
126,116,5.57E-05,9.1,84.2
128,91,4.99E-05,9.8,84.2
127,83,5.42E-05,9.6,83.3
129,105,5.27E-05,10,82.4
121,98,5.39E-05,7.4,81.5
127,93,5.30E-05,9.6,81.5
116,112,5.92E-05,5.5,80.6
117,101,8.35E-05,6.2,80.6
117,78,0.000111933,4.7,80.6
103,0,0.000128545,2.5,80.6
96,13,8.30E-05,2.2,80.6
93,0,0.000102447,1.8,81.5
90,0,0.000193614,1.7,81.5
87,0,0.00020238,1.6,81.5
89,0,0.000174287,1.7,82.4
91,0,0.000136615,1.8,83.3
97,21,0.000129258,2.2,84.2
113,114,0.000117001,3.8,84.2
120,110,8.35E-05,7.2,84.2
114,71,6.09E-05,4.4,83.3
106,28,7.47E-05,2.7,83.3
98,17,0.000105322,2.4,83.3
109,74,0.000231132,3.4,83.3
89,55,0.000226071,2,84.2
76,0,0.00011962,1.6,84.2
91,0,0.000107679,1.8,84.2
89,0,0.000215085,2.1,84.2
94,0,0.000255346,2.1,84.2
105,0,0.000235002,2.8,84.2
93,0,9.86E-05,2,85.1
101,0,0.000160401,2.5,85.1
92,0,0.000140448,1.8,85.1
94,0,0.000189375,1.9,85.1
85,0,0.00012573,1.7,85.1
81,0,9.32E-05,1.5,86
84,0,7.51E-05,1.6,86
95,0,7.81E-05,2.1,86
94,0,9.97E-05,2,86
88,0,8.92E-05,1.6,86
83,0,7.73E-05,1.5,86
89,0,7.73E-05,1.8,86.9
86,0,7.03E-05,1.5,86.9
86,15,5.96E-05,1.7,86.9
95,28,6.73E-05,2.2,86.9
84,0,5.60E-05,1.6,86.9
81,0,6.09E-05,1.5,86.9
79,0,5.83E-05,1.5,86.9
77,0,6.47E-05,1.5,86.9
81,0,7.07E-05,1.5,86.9
91,0,5.60E-05,1.7,86.9
64,8,5.63E-05,1.5,86.9
66,10,9.12E-05,1.4,86.9
84,0,0.000171417,1.5,86.9
78,0,0.000203504,1.6,86.9
93,10,0.000135111,1.9,86.9
104,14,0.000158635,2.7,86.9
93,0,8.30E-05,1.9,86.9
95,0,8.30E-05,2.1,86.9
95,20,9.38E-05,2.2,87.8
108,20,7.90E-05,3.6,87.8
