hr,steps,temp,calories
122,0,77.9,7.5
135,0,77.9,8.2
111,0,77.9,6.2
109,0,77,5.6
126,0,77,9
125,0,77,5.7
138,0,77,10.1
149,0,76.1,13.3
129,0,76.1,10.4
129,0,76.1,6.7
148,0,76.1,8.6
169,0,76.1,10.3
161,0,75.2,12.8
146,0,75.2,10.8
160,0,75.2,11.6
156,0,75.2,10.7
147,0,75.2,11.5
145,0,75.2,12.3
133,0,74.3,1.6
143,0,74.3,1.5
133,0,74.3,1.5
125,0,74.3,1.5
98,0,74.3,1.4
112,0,74.3,1.5
134,0,74.3,1.5
129,0,74.3,1.4
132,0,73.4,1.5
137,0,73.4,1.5
145,0,73.4,1.4
135,0,73.4,1.5
112,0,73.4,1.5
116,0,73.4,1.4
106,0,73.4,1.5
99,0,73.4,1.5
109,0,73.4,1.4
129,0,74.3,1.5
149,0,74.3,1.5
163,0,74.3,1.4
130,0,74.3,1.5
92,0,74.3,1.5
91,0,74.3,1.4
85,0,74.3,1.5
85,0,74.3,1.5
83,0,74.3,1.4
111,0,75.2,1.5
112,0,75.2,1.5
118,0,75.2,1.4
115,0,75.2,1.5
128,0,75.2,1.5
131,0,76.1,1.4
129,0,76.1,1.5
136,0,76.1,1.5
130,0,76.1,1.4
123,0,76.1,1.5
90,0,76.1,1.5
89,0,77,1.5
101,0,77,1.4
129,0,77,1.5
148,0,77,1.5
143,0,77,1.4
108,0,77,1.5
117,0,77,1.5
128,0,77,1.4
135,0,77,1.5
151,0,77,1.5
139,0,77,1.4
136,0,76.1,1.5
145,0,76.1,1.5
136,0,76.1,1.4
118,0,76.1,1.5
116,0,76.1,1.5
133,0,76.1,1.4
131,0,76.1,1.5
115,0,76.1,1.5
131,0,77,1.4
130,0,77,1.5
127,0,77,1.5
120,0,76.1,1.4
137,0,76.1,1.5
131,0,76.1,1.5
124,0,76.1,1.4
141,0,76.1,1.5
141,0,76.1,1.5
144,0,76.1,1.4
135,0,76.1,1.5
136,0,75.2,1.5
129,0,75.2,1.4
133,0,75.2,1.5
129,0,75.2,1.5
105,0,74.3,3.2
100,30,79.7,2.8
91,14,81.5,2.1
97,0,82.4,2.3
99,0,83.3,2.7
104,0,83.3,2.9
109,0,84.2,4.2
104,12,84.2,3.4
95,7,85.1,2.4
92,23,85.1,2.4
95,19,85.1,2.4
106,60,85.1,3.3
117,108,86,5.9
126,116,84.2,9.1
128,91,84.2,9.8
127,83,83.3,9.6
129,105,82.4,10
121,98,81.5,7.4
127,93,81.5,9.6
116,112,80.6,5.5
117,101,80.6,6.2
117,78,80.6,4.7
103,0,80.6,2.5
96,13,80.6,2.2
93,0,81.5,1.8
90,0,81.5,1.7
87,0,81.5,1.6
89,0,82.4,1.7
91,0,83.3,1.8
97,21,84.2,2.2
113,114,84.2,3.8
120,110,84.2,7.2
114,71,83.3,4.4
106,28,83.3,2.7
98,17,83.3,2.4
109,74,83.3,3.4
89,55,84.2,2
76,0,84.2,1.6
91,0,84.2,1.8
89,0,84.2,2.1
94,0,84.2,2.1
105,0,84.2,2.8
93,0,85.1,2
101,0,85.1,2.5
92,0,85.1,1.8
94,0,85.1,1.9
85,0,85.1,1.7
81,0,86,1.5
84,0,86,1.6
95,0,86,2.1
94,0,86,2
88,0,86,1.6
83,0,86,1.5
89,0,86.9,1.8
86,0,86.9,1.5
86,15,86.9,1.7
95,28,86.9,2.2
84,0,86.9,1.6
81,0,86.9,1.5
79,0,86.9,1.5
77,0,86.9,1.5
81,0,86.9,1.5
91,0,86.9,1.7
64,8,86.9,1.5
66,10,86.9,1.4
84,0,86.9,1.5
78,0,86.9,1.6
93,10,86.9,1.9
104,14,86.9,2.7
93,0,86.9,1.9
95,0,86.9,2.1
95,20,87.8,2.2
108,20,87.8,3.6
99,0,87.8,2.4
95,0,87.8,2.1
96,0,86.9,2
95,0,86.9,2
98,0,86.9,2.2
100,0,86.9,2.5
96,0,87.8,2.3
92,0,87.8,1.9
90,0,87.8,1.7
88,0,87.8,1.7
95,0,87.8,2
87,0,87.8,1.6
86,0,87.8,1.6
88,0,87.8,1.7
94,0,87.8,1.9
91,0,87.8,1.7
88,0,87.8,1.6
90,0,87.8,1.8
92,0,87.8,1.8
92,0,87.8,1.8
93,0,87.8,1.9
93,0,88.7,1.9
102,8,87.8,2.7
98,0,87.8,2.3
94,0,88.7,2
98,0,88.7,2.2
96,0,87.8,2.1
98,0,88.7,2.2
98,0,88.7,2.2
100,0,88.7,2.4
95,0,88.7,2.1
97,0,88.7,2.3
97,0,88.7,2.2
99,0,88.7,2.3
95,0,87.8,2.1
95,0,88.7,2
95,0,87.8,2
97,0,87.8,2.1
96,0,88.7,2.2
95,0,88.7,2.1
97,0,88.7,2.3
98,0,88.7,2.2
100,0,88.7,2.4
101,0,87.8,2.4
98,0,87.8,2.2
99,0,88.7,2.3
96,0,88.7,2.2
97,0,88.7,2.2
94,0,88.7,2
96,0,88.7,2.1
99,0,88.7,2.3
94,0,87.8,2
94,0,87.8,2
81,0,87.8,1.5
87,0,88.7,1.6
90,0,88.7,1.7
93,0,88.7,1.9
93,0,88.7,1.8
93,0,88.7,1.9
93,0,88.7,1.8
97,0,88.7,2.2
99,13,88.7,2.3
103,0,88.7,2.6
98,14,88.7,2.4
89,0,88.7,1.8
91,0,88.7,1.8
94,0,88.7,2
74,0,88.7,1.4
91,0,88.7,1.7
94,0,88.7,2
89,0,88.7,1.7
90,0,88.7,1.6
98,87,89.6,2.7
109,51,88.7,3.3
110,7,88.7,4.5
95,0,88.7,2
92,0,88.7,1.7
94,0,87.8,2
93,0,87.8,1.8
96,0,87.8,2.1
98,0,87.8,2.2
91,0,87.8,1.8
94,0,87.8,1.9
97,0,87.8,2.1
109,0,87.8,3
112,0,87.8,3.7
110,0,87.8,2.8
106,0,87.8,2.8
104,0,88.7,2.7
107,0,88.7,2.8
112,0,88.7,3.4
109,0,88.7,3
109,0,88.7,3
108,0,88.7,2.9
117,0,88.7,4.4
117,0,88.7,4.8
129,0,88.7,2.9
116,0,87.8,5.1
122,0,87.8,6.2
126,0,87.8,6.2
117,0,88.7,5.2
121,0,87.8,6.8
126,0,87.8,7.6
129,7,87.8,9.1
117,0,87.8,5.4
111,80,87.8,4.5
102,39,87.8,3
89,46,87.8,2
111,0,86.9,3.1
109,0,86.9,3
114,30,86.9,4.3
109,0,86.9,3
106,0,86.9,2.7
108,0,86.9,2.8
108,0,86.9,3
108,0,87.8,3
104,0,87.8,2.8
